time;interpolated Pixel rightCheek
32.328;202.33929299090823
32.358;201.94457076661928
32.388;201.6359021288893
32.418;201.6816948161415
32.448;202.02464988703454
32.478;202.07585814428722
32.508;202.0541296981298
32.538;201.9708935104949
32.568;201.74037609336844
32.598;201.33670667099693
32.628;201.000075431468
32.658;201.09919238041599
32.688;201.19830932936395
32.718;202.05140552081306
32.748;202.28209536909674
32.778;202.2559918302697
32.808;201.7788370421349
32.838;201.11683359601403
32.868;200.87447252020948
32.898;200.80866100169408
32.928;201.62559726962456
32.958;201.35763042418333
32.988;201.1346923044972
33.018;200.9207599299621
33.048;200.8052801309203
33.078;200.74679919137466
33.108;200.75641487050683
33.138;200.92492265988727
33.168;201.06898857721225
33.198;200.99307764603816
33.228;200.97696613088405
33.258;200.9728144989339
33.288;200.7454257965957
33.318;200.58790131801283
33.348;200.65434624072856
33.378;200.66785704956467
33.408;200.90296022288507
33.438;201.13806339620547
33.468;201.1167265339995
33.498;201.00213874978397
33.528;200.89547128496068
33.558;201.01849308251218
33.588;201.2912743730086
33.618;201.32907988657476
33.648;201.09426339016392
33.678;200.71263274407144
33.708;200.42370826709063
33.738;200.41701825968926
33.768;200.58772953168287
33.798;200.55754666999096
33.828;200.66218717860815
33.858;200.58541764229133
33.888;200.2805217277583
33.918;200.14419599807135
33.948;200.17644045323047
33.978;200.23265198464597
34.008;200.34503491685717
34.038;200.25421977264898
34.068;200.29555975477163
34.098;200.20153994612198
34.128;200.226267540509
34.158;200.52067392880954
34.188;200.71659851106216
34.218;200.67170319108035
34.248;200.80280909661724
34.278;200.65778735584863
34.308;200.632456440041
34.338;200.6584215920738
34.368;200.66668894069414
34.398;200.60833333333332
34.428;200.60833333333332
34.458;200.40138888888887
34.488;199.74963759492238
34.518;199.82569317795432
34.548;200.31555461928863
34.578;200.52904674351177
34.608;200.35574747189025
34.638;200.1824482002687
34.668;199.7899027390303
34.698;199.57045009784736
34.728;199.61672374429224
